YEAR,COLLEGE_DESC,GENDER_DESC,NATIONALITY,STUDENT_LEVEL,TOTAL
2019/2020,Academic Affairs,Female,Non-nationals,Undergraduate,16
2019/2020,Academic Affairs,Female,Non-nationals,Doctorate,1
2019/2020,Academic Affairs,Male,Non-nationals,Undergraduate,12
2019/2020,Business & Economics,Female,Nationals,Undergraduate,1099
2019/2020,Business & Economics,Female,Nationals,Master,58
2019/2020,Business & Economics,Female,Nationals,Doctorate,16
2019/2020,Business & Economics,Female,Non-nationals,Undergraduate,124
2019/2020,Business & Economics,Female,Non-nationals,Master,6
2019/2020,Business & Economics,Female,Non-nationals,Doctorate,4
2019/2020,Business & Economics,Male,Nationals,Undergraduate,292
2019/2020,Business & Economics,Male,Nationals,Master,21
2019/2020,Business & Economics,Male,Nationals,Doctorate,16
2019/2020,Business & Economics,Male,Non-nationals,Undergraduate,112
2019/2020,Business & Economics,Male,Non-nationals,Master,8
2019/2020,Business & Economics,Male,Non-nationals,Doctorate,4
2019/2020,Education,Female,Nationals,Undergraduate,590
2019/2020,Education,Female,Nationals,Master,51
2019/2020,Education,Female,Nationals,Doctorate,20
2019/2020,Education,Female,Non-nationals,Undergraduate,62
2019/2020,Education,Female,Non-nationals,Master,31
2019/2020,Education,Female,Non-nationals,Doctorate,16
2019/2020,Education,Male,Nationals,Undergraduate,6
2019/2020,Education,Male,Nationals,Doctorate,2
2019/2020,Education,Male,Non-nationals,Undergraduate,1
2019/2020,Education,Male,Non-nationals,Master,4
2019/2020,Education,Male,Non-nationals,Doctorate,7
2019/2020,Engineering,Female,Nationals,Undergraduate,1422
2019/2020,Engineering,Female,Nationals,Master,76
2019/2020,Engineering,Female,Nationals,Doctorate,2
2019/2020,Engineering,Female,Non-nationals,Undergraduate,158
2019/2020,Engineering,Female,Non-nationals,Master,80
2019/2020,Engineering,Female,Non-nationals,Doctorate,34
2019/2020,Engineering,Male,Nationals,Undergraduate,623
2019/2020,Engineering,Male,Nationals,Master,31
2019/2020,Engineering,Male,Nationals,Doctorate,1
2019/2020,Engineering,Male,Non-nationals,Undergraduate,205
2019/2020,Engineering,Male,Non-nationals,Master,94
2019/2020,Engineering,Male,Non-nationals,Doctorate,42
2019/2020,Food & Agriculture,Female,Nationals,Undergraduate,450
2019/2020,Food & Agriculture,Female,Nationals,Master,14
2019/2020,Food & Agriculture,Female,Nationals,Doctorate,4
2019/2020,Food & Agriculture,Female,Non-nationals,Undergraduate,85
2019/2020,Food & Agriculture,Female,Non-nationals,Master,8
2019/2020,Food & Agriculture,Female,Non-nationals,Doctorate,11
2019/2020,Food & Agriculture,Male,Nationals,Undergraduate,32
2019/2020,Food & Agriculture,Male,Nationals,Master,4
2019/2020,Food & Agriculture,Male,Nationals,Doctorate,1
2019/2020,Food & Agriculture,Male,Non-nationals,Undergraduate,19
2019/2020,Food & Agriculture,Male,Non-nationals,Master,2
2019/2020,Food & Agriculture,Male,Non-nationals,Doctorate,7
2019/2020,Humanities & Social Sciences,Female,Nationals,Undergraduate,2692
2019/2020,Humanities & Social Sciences,Female,Nationals,Master,63
2019/2020,Humanities & Social Sciences,Female,Nationals,Doctorate,4
2019/2020,Humanities & Social Sciences,Female,Non-nationals,Undergraduate,216
2019/2020,Humanities & Social Sciences,Female,Non-nationals,Master,33
2019/2020,Humanities & Social Sciences,Female,Non-nationals,Doctorate,1
